Feature,Estimate,Std Error,t-Value,p-Value,95% CI Lower,95% CI Upper
Feature_0,6659.7551670608755,94.17917189740737,70.71367302226417,0.0,6475.163990141957,6844.346343979794
Feature_1,45.35725381762988,24.130591213065223,1.8796577927635578,0.06017566579323552,-1.9387049599779544,92.65321259523772
Feature_2,9069.765706342789,2449.1448546066526,3.703237760430241,0.00021369031103035674,4269.4417913137495,13870.089621371828
Feature_3,10906.975944737305,2507.0761730991476,4.350476488017728,1.368121891354157e-05,5993.106645462976,15820.845244011634
Feature_4,20633.854373743186,2985.4986865606998,6.911359387504346,5.009770376318556e-12,14782.276948084214,26485.43179940216
